tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
130.0000,0.335260,0.415682,0.270504,0.426022
130.0500,0.184804,0.411371,0.344171,0.435293
130.1000,0.381570,0.426612,0.325085,0.437409
130.1500,0.646490,0.431078,0.329010,0.435197
130.2000,0.796213,0.427152,0.282289,0.421170
130.2500,0.509447,0.414732,-0.018332,0.398100
130.3000,-0.045631,0.416514,-0.304430,0.383058
130.3500,-0.142627,0.414446,-0.033042,0.383396
130.4000,0.059068,0.417765,0.322817,0.383533
130.4500,-0.016742,0.408168,0.300037,0.378987
130.5000,-0.298102,0.398168,0.273664,0.384700
130.5500,-0.641879,0.395966,-0.011125,0.382863
130.6000,-0.619959,0.398969,-0.377654,0.394082
130.6500,-0.428096,0.399589,-0.110308,0.401685
130.7000,-0.287621,0.402108,-0.078890,0.404162
130.7500,0.111571,0.403524,-0.697806,0.401633
130.8000,0.656016,0.396768,-0.943212,0.401786
130.8500,0.397475,0.377035,-0.734720,0.403329
130.9000,-0.218231,0.363268,-0.351682,0.400050
130.9500,-0.143499,0.360698,0.241467,0.401046
131.0000,-0.385249,0.361880,0.805750,0.400964
131.0500,0.047274,0.359843,0.988241,0.406260
131.1000,0.737724,0.365960,0.366123,0.403445
131.1500,0.452430,0.361813,-0.211031,0.401736
131.2000,0.140745,0.351271,0.217518,0.399280
131.2500,-0.040988,0.337996,0.338726,0.401189
131.3000,0.270489,0.332424,-0.071834,0.406479
131.3500,0.110869,0.333028,0.129735,0.413224
131.4000,-0.544522,0.335095,0.128463,0.423786
131.4500,-0.243625,0.349146,-0.022319,0.422235
131.5000,0.285336,0.381655,0.423074,0.419825
131.5500,-0.131075,0.380957,0.130651,0.418311
131.6000,-0.313263,0.375259,-0.668896,0.421438
131.6500,-0.154215,0.365706,-0.593506,0.444873
131.7000,-0.321149,0.360625,-0.287985,0.467293
131.7500,-0.221043,0.366152,-0.095599,0.471469
131.8000,-0.194562,0.383869,-0.073176,0.458985
131.8500,-0.088912,0.370150,-0.361450,0.435144
131.9000,-0.010018,0.365711,0.015166,0.422592
131.9500,0.263267,0.364120,0.372015,0.420027
132.0000,0.263014,0.363536,-0.340243,0.418496
132.0500,0.228320,0.363527,-0.498435,0.399959
132.1000,0.464935,0.363468,0.158177,0.369301
132.1500,0.147845,0.346705,0.221952,0.365240
132.2000,0.331294,0.342152,0.166046,0.364209
132.2500,0.508718,0.342563,0.377286,0.365393
132.3000,0.326150,0.346802,0.418950,0.379222
132.3500,-0.136238,0.344399,0.565117,0.388745
132.4000,-0.277405,0.344664,0.602961,0.388603
132.4500,-0.630629,0.334259,0.224504,0.388217
132.5000,-0.987077,0.343278,0.082645,0.388289
132.5500,-0.258952,0.350299,0.151114,0.385375
132.6000,-0.485107,0.351032,-0.328334,0.387024
132.6500,-0.306848,0.347848,-0.987427,0.372797
132.7000,0.178726,0.350175,-0.922297,0.364559
132.7500,0.497401,0.348323,-0.408613,0.367273
132.8000,0.746512,0.346631,-0.103317,0.372327
132.8500,0.078985,0.346423,0.125201,0.378393
132.9000,0.155100,0.353698,0.313640,0.379390
132.9500,-0.001899,0.369824,0.187297,0.381546
133.0000,0.056428,0.385338,-0.075186,0.380238
133.0500,0.384902,0.384400,-0.164969,0.377984
133.1000,-0.021865,0.382799,-0.098263,0.370543
133.1500,-0.236961,0.375856,-0.108480,0.371029
133.2000,-0.275838,0.376375,-0.116979,0.378350
133.2500,0.177058,0.374475,0.287642,0.407366
133.3000,0.348548,0.369003,0.732753,0.406163
133.3500,0.071265,0.365541,0.552260,0.405151
133.4000,0.140641,0.364925,0.111034,0.395422
133.4500,-0.082927,0.370569,-0.064914,0.387318
133.5000,-0.556671,0.370285,0.052585,0.389732
133.5500,-0.530150,0.345591,0.294209,0.392732
133.6000,-0.195626,0.343803,0.263231,0.393240
133.6500,-0.083132,0.337765,-0.065033,0.397686
133.7000,-0.300609,0.338486,-0.321223,0.368848
133.7500,-0.223815,0.340491,-0.405438,0.339960
133.8000,0.025755,0.341002,-0.402984,0.333918
133.8500,0.178736,0.326025,-0.438262,0.333686
133.9000,0.465522,0.326196,-0.402004,0.333303
133.9500,0.691721,0.325575,-0.259796,0.331253
134.0000,0.741378,0.325656,-0.312306,0.334216
134.0500,0.198978,0.325537,-0.213811,0.343784
134.1000,-0.041930,0.329485,0.141624,0.355853
134.1500,-0.013908,0.330796,0.199494,0.357938
134.2000,-0.194645,0.352854,0.523632,0.361697
134.2500,-0.226366,0.350276,0.980982,0.366575
134.3000,-0.303340,0.349609,0.319684,0.367255
134.3500,0.045823,0.345816,-0.376653,0.364310
134.4000,-0.011278,0.345871,0.005335,0.361987
134.4500,-0.497139,0.348677,0.321693,0.362327
134.5000,-0.623745,0.348852,0.356806,0.370882
134.5500,-0.499539,0.337861,0.321012,0.378291
134.6000,-0.128478,0.330135,-0.198076,0.375677
134.6500,0.258068,0.335231,-0.501963,0.376063
134.7000,0.337880,0.338431,-0.262101,0.382306
134.7500,0.296221,0.336028,-0.105376,0.390945
134.8000,0.511546,0.335212,0.004909,0.391398
134.8500,0.384314,0.350511,0.065772,0.386306
134.9000,0.103933,0.389384,-0.072191,0.380868
134.9500,0.086457,0.402195,-0.206216,0.377513
135.0000,-0.046580,0.387622,-0.340452,0.376069
135.0500,-0.001967,0.370042,-0.521180,0.375793
135.1000,0.504159,0.370522,-0.611088,0.378095
135.1500,-0.189616,0.373181,-0.265840,0.400993
135.2000,-0.821244,0.373561,0.350258,0.399915
135.2500,-0.041792,0.380187,0.399147,0.397933
135.3000,-0.110564,0.389767,0.321246,0.372056
135.3500,0.115547,0.397209,0.669773,0.372945
135.4000,0.081418,0.398745,0.485622,0.369527
135.4500,-0.315712,0.400196,0.149716,0.372546
135.5000,0.109068,0.392631,0.511266,0.372835
135.5500,-0.020209,0.388660,0.479930,0.368888
135.6000,-0.263569,0.390880,-0.075802,0.366007
135.6500,-0.421053,0.391929,-0.284942,0.370670
135.7000,-0.308707,0.389995,-0.445376,0.362327
135.7500,-0.154646,0.388291,-0.614051,0.360261
135.8000,0.166242,0.385736,-0.422985,0.361923
135.8500,0.656345,0.377388,0.004013,0.362590
135.9000,1.100543,0.373752,0.145082,0.364487
135.9500,0.795290,0.373955,-0.239348,0.395138
136.0000,-0.081039,0.374739,-0.151219,0.444346
136.0500,0.059417,0.374815,0.298369,0.448617
136.1000,-0.232765,0.375998,-0.341856,0.441642
136.1500,-0.287785,0.373069,-0.866890,0.431795
136.2000,-0.108785,0.371894,-0.066263,0.432957
136.2500,-0.492600,0.349099,0.457559,0.433663
136.3000,-0.594698,0.355869,0.381301,0.431301
136.3500,-0.576297,0.361493,0.359648,0.437357
136.4000,-0.228549,0.362255,0.194468,0.430989
136.4500,-0.218338,0.362255,0.303126,0.425718
136.5000,0.035145,0.359221,0.335138,0.427554
136.5500,0.511729,0.359120,-0.085367,0.420414
136.6000,0.566108,0.360477,0.127401,0.414074
136.6500,0.223981,0.362188,0.424372,0.414580
136.7000,0.067756,0.356281,-0.035038,0.415877
136.7500,0.244518,0.355302,-0.086479,0.412313
136.8000,-0.081718,0.355594,0.245636,0.401832
136.8500,0.021668,0.372418,0.140766,0.396445
136.9000,0.189053,0.362795,-0.246741,0.401571
136.9500,0.130513,0.330271,-0.979713,0.405796
137.0000,0.177550,0.306148,-1.317645,0.407750
137.0500,0.067127,0.321627,-0.521819,0.412586
137.1000,-0.190836,0.324235,0.130575,0.412303
137.1500,-0.405246,0.323347,0.144115,0.413124
137.2000,-0.008109,0.321677,0.334482,0.397220
137.2500,0.024576,0.334936,0.384389,0.397473
137.3000,-0.444339,0.347303,0.274901,0.397241
137.3500,-0.421454,0.336978,0.564682,0.394757
137.4000,-0.189644,0.324852,0.471068,0.393058
137.4500,0.081429,0.322917,-0.225109,0.393399
137.5000,0.099637,0.324705,-0.294385,0.390785
137.5500,-0.094447,0.339019,0.114702,0.391052
137.6000,0.201105,0.337786,0.115802,0.400547
137.6500,0.346647,0.336822,0.151403,0.404966
137.7000,0.057185,0.345994,0.354074,0.401600
137.7500,-0.258370,0.346365,0.278107,0.403442
137.8000,0.180024,0.351216,0.164930,0.403995
137.8500,0.727893,0.357042,-0.050920,0.424122
137.9000,0.375121,0.359337,-0.409540,0.441876
137.9500,0.535707,0.359735,-0.401157,0.441436
138.0000,0.055221,0.359177,-0.349914,0.414082
138.0500,-0.636381,0.360534,-0.430725,0.359861
138.1000,-0.269446,0.363095,-0.281916,0.351790
138.1500,-0.174912,0.363056,-0.380318,0.351676
138.2000,-0.196623,0.359269,-0.472339,0.351984
138.2500,-0.607262,0.362785,0.112313,0.350066
138.3000,-0.767197,0.364750,0.449238,0.353693
138.3500,-0.252976,0.360610,0.254436,0.352052
138.4000,0.055411,0.355098,0.272886,0.343299
138.4500,0.028996,0.354240,0.220949,0.337736
138.5000,0.308478,0.354016,0.088447,0.339548
138.5500,0.625099,0.359667,0.347664,0.339123
138.6000,0.477137,0.360062,0.561657,0.339762
138.6500,0.542036,0.359161,0.402724,0.344835
138.7000,0.554028,0.371555,0.262237,0.354578
138.7500,0.123041,0.381707,0.249030,0.358169
138.8000,-0.445561,0.393534,-0.160573,0.357734
138.8500,-0.419345,0.392653,-0.862387,0.356997
138.9000,-0.260513,0.376501,-0.806356,0.361247
138.9500,-0.217926,0.379101,-0.211936,0.370119
139.0000,-0.024240,0.391297,-0.019170,0.376590
139.0500,0.267526,0.394013,0.125228,0.374589
139.1000,0.283663,0.382174,0.191829,0.371958
139.1500,-0.187804,0.379893,-0.117331,0.372084
139.2000,-0.228190,0.378942,-0.172155,0.367613
139.2500,-0.322715,0.379714,-0.238103,0.365881
139.3000,-0.243352,0.376528,-0.502384,0.365529
139.3500,-0.272603,0.356958,-0.167641,0.388058
139.4000,-0.126072,0.356255,0.263271,0.397251
139.4500,0.104917,0.358523,0.258034,0.400092
139.5000,0.010672,0.379159,0.317774,0.404895
139.5500,0.418684,0.381631,0.273583,0.405107
139.6000,-0.143446,0.368979,0.175865,0.409164
139.6500,0.117818,0.364938,0.394731,0.404111
139.7000,0.701054,0.356165,0.549822,0.401147
139.7500,0.562831,0.345539,0.479908,0.403087
139.8000,0.665345,0.345037,0.254135,0.401691
139.8500,-0.063322,0.344924,-0.074708,0.401140
139.9000,-0.143091,0.353957,-0.357444,0.377889
139.9500,-0.470377,0.354228,-0.658589,0.356381
140.0000,-0.819879,0.353360,-0.599204,0.355141
140.0500,-0.300833,0.353367,-0.246596,0.356071
140.1000,-0.168018,0.354890,-0.324028,0.362594
140.1500,-0.036505,0.353144,-0.288660,0.364194
140.2000,0.031968,0.353627,-0.095090,0.365679
140.2500,-0.250291,0.355083,-0.413566,0.379853
140.3000,-0.519606,0.351819,-0.045369,0.384187
140.3500,-0.007424,0.352004,0.947570,0.376537
140.4000,0.208464,0.350201,0.600614,0.376196
140.4500,0.263717,0.351827,-0.409074,0.374549
140.5000,0.790544,0.352610,-0.455346,0.373091
140.5500,0.415051,0.353521,0.121807,0.370383
140.6000,0.037249,0.349888,0.506273,0.375604
140.6500,0.325651,0.360054,0.383369,0.394329
140.7000,0.185542,0.367110,0.253634,0.404242
140.7500,0.035233,0.353792,0.364338,0.396986
140.8000,0.030800,0.344666,0.126329,0.391023
140.8500,-0.441955,0.328707,-0.087520,0.389291
140.9000,-0.659288,0.337042,0.032360,0.389646
140.9500,-0.275220,0.361070,-0.052166,0.404393
141.0000,0.149380,0.364805,-0.093447,0.403652
141.0500,-0.027989,0.356566,-0.165799,0.395733
141.1000,-0.340299,0.360418,-0.455947,0.399652
141.1500,-0.172531,0.361187,-0.290628,0.396675
141.2000,0.221954,0.361231,-0.241271,0.394628
141.2500,0.307213,0.362470,-0.680362,0.396068
141.3000,-0.097787,0.370738,-0.438693,0.409428
141.3500,-0.254089,0.374135,0.117523,0.420267
141.4000,-0.149629,0.380411,0.132568,0.397929
141.4500,0.250401,0.379359,0.136407,0.389087
141.5000,0.183356,0.377767,0.147936,0.385677
141.5500,-0.162776,0.359722,0.135793,0.386323
141.6000,0.265534,0.353834,0.484303,0.391228
141.6500,0.562569,0.353999,0.788668,0.395040
141.7000,0.473561,0.350413,0.693104,0.398327
141.7500,0.312803,0.350585,0.252898,0.398277
141.8000,0.235416,0.355160,-0.193995,0.395639
141.8500,0.045690,0.360355,-0.095827,0.395639
141.9000,-0.481174,0.354063,-0.130088,0.395528
141.9500,-0.841552,0.341147,-0.779658,0.401659
142.0000,-0.576563,0.338934,-0.639669,0.401697
142.0500,-0.654617,0.338179,0.315443,0.406371
142.1000,-0.451367,0.341547,0.434307,0.407481
142.1500,0.225770,0.353825,0.088338,0.409757
142.2000,-0.051440,0.353643,0.129947,0.419470
142.2500,0.194361,0.356019,-0.236078,0.418057
142.3000,0.557848,0.364938,-0.782465,0.404435
142.3500,0.611329,0.373547,-0.608921,0.402935
142.4000,0.440706,0.373748,-0.385396,0.404756
142.4500,-0.103407,0.375546,-0.274625,0.404609
142.5000,0.141895,0.373680,0.242952,0.410814
142.5500,0.281646,0.373456,0.477282,0.416739
142.6000,0.000167,0.372598,0.413749,0.417092
142.6500,-0.078622,0.373322,0.615808,0.410182
142.7000,0.049788,0.362978,0.503867,0.391255
142.7500,-0.198424,0.356475,0.250388,0.376064
142.8000,-0.365548,0.353205,0.216553,0.374288
142.8500,-0.391614,0.357436,-0.126264,0.374633
142.9000,-0.104874,0.380645,-0.063857,0.392187
142.9500,0.257912,0.382639,0.448787,0.400277
143.0000,-0.118475,0.360977,0.063139,0.381320
143.0500,0.036748,0.352837,-0.404471,0.368030
143.1000,-0.307677,0.339102,-0.254000,0.364777
143.1500,-0.682515,0.331698,-0.533070,0.359617
143.2000,-0.156548,0.330199,-0.643955,0.363576
143.2500,0.344092,0.334749,-0.098389,0.381377
143.3000,0.598334,0.350018,-0.059414,0.407576
143.3500,0.519846,0.363224,-0.377893,0.400613
143.4000,0.265918,0.353992,-0.272224,0.389775
143.4500,-0.278599,0.349505,0.112740,0.388700
143.5000,0.073425,0.351104,0.475442,0.391439
143.5500,0.163543,0.356244,0.472140,0.390214
143.6000,0.015677,0.358566,0.174667,0.384574
143.6500,0.304429,0.362664,0.012953,0.382288
143.7000,0.064853,0.372163,-0.009693,0.371008
143.7500,0.180077,0.378166,-0.049918,0.362591
143.8000,0.051967,0.376961,-0.096547,0.360505
143.8500,-0.422739,0.375630,0.219568,0.370557
143.9000,-0.839290,0.370661,0.749046,0.390395
143.9500,-0.542145,0.371533,0.528960,0.390631
144.0000,-0.218603,0.371227,-0.019055,0.393461
144.0500,-0.306932,0.373360,0.029457,0.394640
144.1000,0.197126,0.377760,0.042140,0.390039
144.1500,0.010361,0.377668,-0.188053,0.388358
144.2000,-0.101475,0.364613,-0.353812,0.380755
144.2500,0.355939,0.367413,-0.748724,0.368077
144.3000,0.682964,0.364092,-0.950370,0.368791
144.3500,0.835098,0.352767,-0.617680,0.370831
144.4000,0.319751,0.346431,-0.139896,0.381183
144.4500,0.254585,0.353922,0.337930,0.389221
144.5000,0.237954,0.353442,0.403776,0.390052
144.5500,-0.411349,0.353257,0.140588,0.382929
144.6000,-0.383883,0.352743,0.220523,0.377129
144.6500,-0.348084,0.352773,0.315166,0.377683
144.7000,-0.540708,0.367465,0.175575,0.379283
144.7500,-0.432616,0.379363,0.026802,0.380761
144.8000,-0.045443,0.380478,0.029226,0.381462
144.8500,0.304253,0.383449,0.590082,0.387293
144.9000,-0.036250,0.377735,0.796779,0.398877
144.9500,0.193746,0.355476,-0.107891,0.390026
145.0000,0.239139,0.351326,-0.540742,0.386457
145.0500,-0.281384,0.351466,-0.205096,0.387098
145.1000,-0.369900,0.361793,-0.124820,0.403148
145.1500,-0.303051,0.365292,0.104173,0.405090
145.2000,0.261707,0.368932,0.210767,0.405443
145.2500,0.329487,0.368636,-0.159466,0.405532
145.3000,0.137131,0.368012,-0.176791,0.410149
145.3500,0.158534,0.358687,-0.255740,0.388903
145.4000,0.297685,0.334136,-0.679679,0.376749
145.4500,0.534616,0.330413,-0.572730,0.376218
145.5000,0.252351,0.329472,-0.198153,0.373970
145.5500,-0.006458,0.329812,0.016886,0.372569
145.6000,0.108913,0.325685,0.205353,0.372204
145.6500,-0.033591,0.340433,0.218323,0.377082
145.7000,-0.725605,0.346653,0.223208,0.374484
145.7500,-0.607074,0.351118,0.214833,0.373760
145.8000,-0.259122,0.344665,0.156169,0.374048
145.8500,-0.309447,0.346545,0.439458,0.377440
145.9000,-0.019784,0.354961,0.649292,0.370290
145.9500,-0.187796,0.362868,0.524221,0.350184
146.0000,-0.416711,0.361960,0.407626,0.360705
146.0500,0.227684,0.363515,-0.143810,0.373395
146.1000,0.629445,0.360882,-0.721744,0.373259
146.1500,0.378371,0.358661,-0.257140,0.375121
146.2000,0.331202,0.355656,0.216990,0.375381
146.2500,0.036698,0.356812,-0.357993,0.378079
146.3000,0.328403,0.353537,-0.845559,0.392095
146.3500,0.434263,0.352888,-0.455163,0.404304
146.4000,-0.001196,0.353308,0.000749,0.411151
146.4500,-0.028486,0.350243,0.056190,0.397298
146.5000,-0.198360,0.340745,0.212321,0.389307
146.5500,0.256547,0.339964,0.346618,0.388784
146.6000,-0.241420,0.340133,-0.092767,0.388997
146.6500,-0.741718,0.342723,-0.445524,0.388795
146.7000,-0.544407,0.356851,-0.138819,0.389075
146.7500,-0.648164,0.355715,0.092836,0.387684
146.8000,-0.055507,0.349604,0.097702,0.393646
146.8500,0.235239,0.353894,0.324638,0.395538
146.9000,0.578471,0.354166,0.359154,0.393572
146.9500,0.483764,0.358855,0.202292,0.395828
147.0000,-0.102660,0.369649,0.564175,0.393102
147.0500,-0.321632,0.378820,0.821187,0.387932
147.1000,-0.031489,0.399942,0.194706,0.393157
147.1500,0.267002,0.392445,-0.269646,0.388110
147.2000,0.061897,0.388009,-0.137276,0.386079
147.2500,0.319770,0.384555,-0.357441,0.387733
147.3000,0.114823,0.384764,-0.684114,0.383682
147.3500,-0.001249,0.381694,-0.655685,0.360763
147.4000,0.193140,0.377608,-0.542523,0.355539
147.4500,0.014669,0.377801,-0.052728,0.357849
147.5000,0.129292,0.377942,0.265139,0.376140
147.5500,0.204676,0.391280,-0.150237,0.393094
147.6000,0.068909,0.393839,-0.084282,0.398356
147.6500,-0.290483,0.393080,0.188940,0.402526
147.7000,-0.637454,0.375822,-0.237955,0.396479
147.7500,-0.702357,0.366196,-0.074289,0.401437
147.8000,-0.437994,0.352641,0.486970,0.405913
147.8500,-0.436881,0.353167,0.292564,0.410265
147.9000,-0.321954,0.352467,0.359898,0.420843
147.9500,0.370799,0.340734,0.703282,0.427737
148.0000,0.598040,0.333378,0.432015,0.428787
148.0500,0.674594,0.338490,0.023939,0.419718
148.1000,0.852206,0.336321,-0.433600,0.399653
148.1500,0.390683,0.342048,-0.599386,0.398714
148.2000,-0.034977,0.351348,0.040519,0.398179
148.2500,-0.017293,0.351471,0.315563,0.405867
148.3000,-0.088976,0.358902,-0.004472,0.403501
148.3500,-0.106728,0.363311,0.124244,0.389187
148.4000,-0.247748,0.369871,0.231831,0.376913
148.4500,-0.077436,0.369153,-0.259964,0.368116
148.5000,-0.071820,0.372104,-0.744043,0.374938
148.5500,-0.678232,0.375355,-0.761431,0.389737
148.6000,-0.384988,0.377507,-0.539346,0.394384
148.6500,0.183751,0.379686,-0.381469,0.394930
148.7000,-0.078159,0.377335,-0.019866,0.394939
148.7500,-0.059433,0.364397,0.426012,0.394875
148.8000,0.143539,0.350168,0.395940,0.394750
148.8500,-0.135296,0.345112,0.393919,0.387646
148.9000,0.187337,0.338675,0.682543,0.384959
148.9500,0.033937,0.340186,0.607324,0.381049
149.0000,-0.175313,0.338181,0.278880,0.375205
149.0500,0.389036,0.330449,0.052983,0.369312
149.1000,0.208405,0.313610,0.016321,0.369308
149.1500,0.400352,0.286009,0.084746,0.363358
149.2000,0.579375,0.282741,-0.235034,0.351145
149.2500,0.085900,0.283244,-0.521814,0.352977
149.3000,-0.564522,0.283722,-0.221897,0.350774
149.3500,-0.379135,0.286481,0.053081,0.351633
149.4000,0.444059,0.290578,0.210655,0.357020
149.4500,0.124727,0.292875,0.160087,0.373073
149.5000,-0.299801,0.296348,-0.458929,0.377720
149.5500,-0.341098,0.296775,-0.730938,0.360270
149.6000,-0.329120,0.285772,-0.414683,0.341667
149.6500,-0.269078,0.285581,-0.157366,0.331225
149.7000,-0.106864,0.297499,0.189728,0.327661
149.7500,-0.113497,0.297551,0.233548,0.337629
149.8000,-0.276461,0.310866,-0.038373,0.333038
149.8500,-0.218408,0.316298,0.096321,0.327514
149.9000,0.102061,0.317266,0.021478,0.321695
149.9500,0.381704,0.321703,-0.082077,0.303634
150.0000,0.285903,0.322823,0.559836,0.291709
