n,g_n
1890,2400.1496534320
1891,2401.2064272187
1892,2402.2631227906
1893,2403.3197401995
1894,2404.3762794972
1895,2405.4327407352
1896,2406.4891239652
1897,2407.5454292386
1898,2408.6016566069
1899,2409.6578061214
1900,2410.7138778336
1901,2411.7698717946
1902,2412.8257880557
1903,2413.8816266679
1904,2414.9373876825
1905,2415.9930711504
1906,2417.0486771225
1907,2418.1042056498
1908,2419.1596567831
1909,2420.2150305732
1910,2421.2703270707
1911,2422.3255463265
1912,2423.3806883909
1913,2424.4357533146
1914,2425.4907411481
1915,2426.5456519418
1916,2427.6004857460
1917,2428.6552426110
1918,2429.7099225870
1919,2430.7645257243
1920,2431.8190520730
1921,2432.8735016830
1922,2433.9278746045
1923,2434.9821708873
1924,2436.0363905814
1925,2437.0905337365
1926,2438.1446004025
1927,2439.1985906289
1928,2440.2525044656
1929,2441.3063419620
1930,2442.3601031677
1931,2443.4137881321
1932,2444.4673969047
1933,2445.5209295349
1934,2446.5743860719
1935,2447.6277665649
1936,2448.6810710632
1937,2449.7342996159
1938,2450.7874522720
1939,2451.8405290806
1940,2452.8935300905
1941,2453.9464553508
1942,2454.9993049102
1943,2456.0520788175
1944,2457.1047771214
1945,2458.1573998706
1946,2459.2099471137
1947,2460.2624188993
1948,2461.3148152759
1949,2462.3671362918
1950,2463.4193819955
1951,2464.4715524353
1952,2465.5236476596
1953,2466.5756677163
1954,2467.6276126539
1955,2468.6794825203
1956,2469.7312773636
1957,2470.7829972317
1958,2471.8346421727
1959,2472.8862122344
1960,2473.9377074647
1961,2474.9891279112
1962,2476.0404736217
1963,2477.0917446439
1964,2478.1429410253
1965,2479.1940628136
1966,2480.2451100562
1967,2481.2960828005
1968,2482.3469810940
1969,2483.3978049839
1970,2484.4485545176
1971,2485.4992297422
1972,2486.5498307049
1973,2487.6003574529
1974,2488.6508100331
1975,2489.7011884926
1976,2490.7514928784
1977,2491.8017232373
1978,2492.8518796161
1979,2493.9019620618
1980,2494.9519706209
1981,2496.0019053402
1982,2497.0517662663
1983,2498.1015534457
1984,2499.1512669251
1985,2500.2009067508
1986,2501.2504729693
1987,2502.2999656269
1988,2503.3493847700
1989,2504.3987304448
1990,2505.4480026974
1991,2506.4972015741
1992,2507.5463271209
1993,2508.5953793840
1994,2509.6443584092
1995,2510.6932642425
1996,2511.7420969298
1997,2512.7908565169
1998,2513.8395430497
1999,2514.8881565738
2000,2515.9366971350
2001,2516.9851647788
2002,2518.0335595508
2003,2519.0818814966
2004,2520.1301306616
2005,2521.1783070913
2006,2522.2264108310
2007,2523.2744419260
2008,2524.3224004216
2009,2525.3702863630
2010,2526.4180997954
2011,2527.4658407639
2012,2528.5135093135
2013,2529.5611054893
2014,2530.6086293362
2015,2531.6560808992
2016,2532.7034602230
2017,2533.7507673526
2018,2534.7980023326
2019,2535.8451652078
2020,2536.8922560228
2021,2537.9392748223
2022,2538.9862216507
2023,2540.0330965526
2024,2541.0798995725
2025,2542.1266307548
2026,2543.1732901438
2027,2544.2198777838
2028,2545.2663937191
2029,2546.3128379939
2030,2547.3592106524
2031,2548.4055117386
2032,2549.4517412967
2033,2550.4978993706
2034,2551.5439860043
2035,2552.5900012417
2036,2553.6359451267
2037,2554.6818177031
2038,2555.7276190147
2039,2556.7733491052
2040,2557.8190080182
2041,2558.8645957974
2042,2559.9101124864
2043,2560.9555581286
2044,2562.0009327675
2045,2563.0462364467
2046,2564.0914692094
2047,2565.1366310990
2048,2566.1817221587
2049,2567.2267424319
2050,2568.2716919616
2051,2569.3165707911
2052,2570.3613789634
2053,2571.4061165216
2054,2572.4507835087
2055,2573.4953799675
2056,2574.5399059411
2057,2575.5843614723
2058,2576.6287466038
2059,2577.6730613784
2060,2578.7173058390
2061,2579.7614800280
2062,2580.8055839882
2063,2581.8496177620
2064,2582.8935813922
2065,2583.9374749210
2066,2584.9812983909
2067,2586.0250518444
2068,2587.0687353238
2069,2588.1123488713
2070,2589.1558925292
2071,2590.1993663398
2072,2591.2427703451
2073,2592.2861045872
2074,2593.3293691083
2075,2594.3725639503
2076,2595.4156891552
2077,2596.4587447650
2078,2597.5017308215
2079,2598.5446473665
2080,2599.5874944418
2081,2600.6302720892
2082,2601.6729803504
2083,2602.7156192670
2084,2603.7581888806
2085,2604.8006892328
2086,2605.8431203650
2087,2606.8854823189
2088,2607.9277751357
2089,2608.9699988569
2090,2610.0121535237
2091,2611.0542391776
2092,2612.0962558596
2093,2613.1382036111
2094,2614.1800824732
2095,2615.2218924870
2096,2616.2636336935
2097,2617.3053061338
2098,2618.3469098489
2099,2619.3884448796
2100,2620.4299112669
2101,2621.4713090517
2102,2622.5126382746
2103,2623.5538989766
2104,2624.5950911982
2105,2625.6362149801
2106,2626.6772703631
2107,2627.7182573876
2108,2628.7591760941
2109,2629.8000265233
2110,2630.8408087155
2111,2631.8815227112
2112,2632.9221685506
2113,2633.9627462742
2114,2635.0032559222
2115,2636.0436975348
2116,2637.0840711523
2117,2638.1243768147
2118,2639.1646145622
2119,2640.2047844348
2120,2641.2448864725
2121,2642.2849207154
2122,2643.3248872034
2123,2644.3647859763
2124,2645.4046170739
2125,2646.4443805362
2126,2647.4840764029
2127,2648.5237047136
2128,2649.5632655081
2129,2650.6027588259
2130,2651.6421847068
2131,2652.6815431902
2132,2653.7208343156
2133,2654.7600581226
2134,2655.7992146504
2135,2656.8383039386
2136,2657.8773260265
2137,2658.9162809533
2138,2659.9551687583
2139,2660.9939894807
2140,2662.0327431597
2141,2663.0714298345
2142,2664.1100495441
2143,2665.1486023275
2144,2666.1870882239
2145,2667.2255072721
2146,2668.2638595111
2147,2669.3021449797
2148,2670.3403637168
2149,2671.3785157612
2150,2672.4166011517
2151,2673.4546199270
2152,2674.4925721258
2153,2675.5304577866
2154,2676.5682769482
2155,2677.6060296490
2156,2678.6437159276
2157,2679.6813358225
2158,2680.7188893720
2159,2681.7563766147
2160,2682.7937975888
2161,2683.8311523326
2162,2684.8684408845
2163,2685.9056632826
2164,2686.9428195652
2165,2687.9799097704
2166,2689.0169339364
2167,2690.0538921012
2168,2691.0907843028
2169,2692.1276105792
2170,2693.1643709684
2171,2694.2010655084
2172,2695.2376942369
2173,2696.2742571919
2174,2697.3107544110
2175,2698.3471859322
2176,2699.3835517930
2177,2700.4198520313
2178,2701.4560866845
2179,2702.4922557903
2180,2703.5283593864
2181,2704.5643975101
2182,2705.6003701990
2183,2706.6362774906
2184,2707.6721194221
2185,2708.7078960311
2186,2709.7436073548
2187,2710.7792534305
2188,2711.8148342955
2189,2712.8503499870
2190,2713.8858005421
2191,2714.9211859980
2192,2715.9565063918
2193,2716.9917617606
2194,2718.0269521413
2195,2719.0620775710
2196,2720.0971380865
2197,2721.1321337248
2198,2722.1670645229
2199,2723.2019305173
2200,2724.2367317451
2201,2725.2714682429
2202,2726.3061400475
2203,2727.3407471955
2204,2728.3752897236
2205,2729.4097676683
2206,2730.4441810663
2207,2731.4785299541
2208,2732.5128143680
2209,2733.5470343448
2210,2734.5811899206
2211,2735.6152811319
2212,2736.6493080151
2213,2737.6832706063
2214,2738.7171689421
2215,2739.7510030584
2216,2740.7847729916
2217,2741.8184787777
2218,2742.8521204529
2219,2743.8856980534
2220,2744.9192116150
2221,2745.9526611739
2222,2746.9860467660
2223,2748.0193684272
2224,2749.0526261934
2225,2750.0858201005
2226,2751.1189501843
2227,2752.1520164807
2228,2753.1850190253
2229,2754.2179578538
2230,2755.2508330020
2231,2756.2836445055
2232,2757.3163923998
2233,2758.3490767207
2234,2759.3816975035
2235,2760.4142547838
2236,2761.4467485970
2237,2762.4791789787
2238,2763.5115459641
2239,2764.5438495886
2240,2765.5760898875
2241,2766.6082668962
2242,2767.6403806499
2243,2768.6724311837
2244,2769.7044185328
2245,2770.7363427325
2246,2771.7682038178
2247,2772.8000018237
2248,2773.8317367853
2249,2774.8634087376
2250,2775.8950177155
2251,2776.9265637541
2252,2777.9580468881
2253,2778.9894671525
2254,2780.0208245820
2255,2781.0521192114
2256,2782.0833510756
2257,2783.1145202092
2258,2784.1456266468
2259,2785.1766704232
2260,2786.2076515730
2261,2787.2385701307
2262,2788.2694261308
2263,2789.3002196080
2264,2790.3309505966
2265,2791.3616191311
2266,2792.3922252459
2267,2793.4227689754
2268,2794.4532503539
2269,2795.4836694157
2270,2796.5140261951
2271,2797.5443207263
2272,2798.5745530436
2273,2799.6047231810
2274,2800.6348311727
2275,2801.6648770528
2276,2802.6948608554
2277,2803.7247826145
2278,2804.7546423641
2279,2805.7844401382
2280,2806.8141759707
2281,2807.8438498954
2282,2808.8734619463
2283,2809.9030121571
2284,2810.9325005617
2285,2811.9619271938
2286,2812.9912920872
2287,2814.0205952755
2288,2815.0498367924
2289,2816.0790166716
2290,2817.1081349466
2291,2818.1371916509
2292,2819.1661868182
2293,2820.1951204818
2294,2821.2239926753
2295,2822.2528034321
2296,2823.2815527856
2297,2824.3102407691
2298,2825.3388674160
2299,2826.3674327596
2300,2827.3959368331
2301,2828.4243796697
2302,2829.4527613027
2303,2830.4810817653
2304,2831.5093410904
2305,2832.5375393114
2306,2833.5656764611
2307,2834.5937525727
2308,2835.6217676792
2309,2836.6497218134
2310,2837.6776150085
2311,2838.7054472972
2312,2839.7332187124
2313,2840.7609292870
2314,2841.7885790538
2315,2842.8161680456
2316,2843.8436962951
2317,2844.8711638350
2318,2845.8985706980
2319,2846.9259169167
2320,2847.9532025238
2321,2848.9804275518
2322,2850.0075920334
2323,2851.0346960009
2324,2852.0617394870
2325,2853.0887225240
2326,2854.1156451444
2327,2855.1425073806
2328,2856.1693092649
2329,2857.1960508298
2330,2858.2227321073
2331,2859.2493531300
2332,2860.2759139299
2333,2861.3024145393
2334,2862.3288549904
2335,2863.3552353152
2336,2864.3815555460
2337,2865.4078157148
2338,2866.4340158536
2339,2867.4601559945
2340,2868.4862361694
2341,2869.5122564104
2342,2870.5382167493
2343,2871.5641172180
2344,2872.5899578483
2345,2873.6157386723
2346,2874.6414597215
2347,2875.6671210278
2348,2876.6927226230
2349,2877.7182645387
2350,2878.7437468067
2351,2879.7691694585
2352,2880.7945325258
2353,2881.8198360402
2354,2882.8450800333
2355,2883.8702645365
2356,2884.8953895814
2357,2885.9204551994
2358,2886.9454614219
2359,2887.9704082805
2360,2888.9952958064
2361,2890.0201240310
2362,2891.0448929856
2363,2892.0696027015
2364,2893.0942532100
2365,2894.1188445422
2366,2895.1433767294
2367,2896.1678498028
2368,2897.1922637934
2369,2898.2166187324
2370,2899.2409146509
2371,2900.2651515799
2372,2901.2893295504
2373,2902.3134485935
2374,2903.3375087400
2375,2904.3615100209
2376,2905.3854524671
2377,2906.4093361095
2378,2907.4331609788
2379,2908.4569271060
2380,2909.4806345218
2381,2910.5042832570
2382,2911.5278733422
2383,2912.5514048083
2384,2913.5748776857
2385,2914.5982920052
2386,2915.6216477974
2387,2916.6449450929
2388,2917.6681839221
2389,2918.6913643157
2390,2919.7144863041
2391,2920.7375499177
2392,2921.7605551871
2393,2922.7835021426
2394,2923.8063908146
2395,2924.8292212334
2396,2925.8519934293
2397,2926.8747074327
2398,2927.8973632738
2399,2928.9199609828
2400,2929.9425005900
2401,2930.9649821255
2402,2931.9874056194
2403,2933.0097711019
2404,2934.0320786030
2405,2935.0543281529
2406,2936.0765197816
2407,2937.0986535190
2408,2938.1207293951
2409,2939.1427474399
2410,2940.1647076834
2411,2941.1866101553
2412,2942.2084548856
2413,2943.2302419041
2414,2944.2519712405
2415,2945.2736429248
2416,2946.2952569866
2417,2947.3168134557
2418,2948.3383123617
2419,2949.3597537344
2420,2950.3811376033
2421,2951.4024639981
2422,2952.4237329483
2423,2953.4449444836
2424,2954.4660986334
2425,2955.4871954273
2426,2956.5082348947
2427,2957.5292170651
2428,2958.5501419678
2429,2959.5710096324
2430,2960.5918200881
2431,2961.6125733643
2432,2962.6332694903
2433,2963.6539084953
2434,2964.6744904087
2435,2965.6950152597
2436,2966.7154830774
2437,2967.7358938911
2438,2968.7562477299
2439,2969.7765446228
2440,2970.7967845991
2441,2971.8169676877
2442,2972.8370939177
2443,2973.8571633182
2444,2974.8771759180
2445,2975.8971317462
2446,2976.9170308317
2447,2977.9368732034
2448,2978.9566588901
2449,2979.9763879208
2450,2980.9960603242
2451,2982.0156761292
2452,2983.0352353645
2453,2984.0547380588
2454,2985.0741842409
2455,2986.0935739395
2456,2987.1129071832
2457,2988.1321840007
2458,2989.1514044206
2459,2990.1705684715
2460,2991.1896761819
2461,2992.2087275803
2462,2993.2277226953
2463,2994.2466615554
2464,2995.2655441890
2465,2996.2843706245
2466,2997.3031408903
2467,2998.3218550149
2468,2999.3405130265
2469,3000.3591149535
2470,3001.3776608242
2471,3002.3961506669
2472,3003.4145845097
2473,3004.4329623810
2474,3005.4512843089
2475,3006.4695503216
2476,3007.4877604472
2477,3008.5059147139
2478,3009.5240131497
2479,3010.5420557828
2480,3011.5600426410
2481,3012.5779737526
2482,3013.5958491453
2483,3014.6136688473
2484,3015.6314328865
2485,3016.6491412907
2486,3017.6667940879
2487,3018.6843913059
2488,3019.7019329725
2489,3020.7194191156
2490,3021.7368497630
2491,3022.7542249423
2492,3023.7715446814
2493,3024.7888090080
2494,3025.8060179497
2495,3026.8231715342
2496,3027.8402697891
2497,3028.8573127421
2498,3029.8743004207
2499,3030.8912328525
2500,3031.9081100650
2501,3032.9249320857
2502,3033.9416989422
2503,3034.9584106618
2504,3035.9750672721
2505,3036.9916688004
2506,3038.0082152741
2507,3039.0247067205
2508,3040.0411431671
2509,3041.0575246411
2510,3042.0738511697
2511,3043.0901227804
2512,3044.1063395002
2513,3045.1225013565
2514,3046.1386083764
2515,3047.1546605871
2516,3048.1706580156
2517,3049.1866006892
2518,3050.2024886349
2519,3051.2183218798
2520,3052.2341004509
2521,3053.2498243752
2522,3054.2654936798
2523,3055.2811083916
2524,3056.2966685376
2525,3057.3121741446
2526,3058.3276252395
2527,3059.3430218494
2528,3060.3583640009
2529,3061.3736517209
2530,3062.3888850363
2531,3063.4040639737
2532,3064.4191885600
2533,3065.4342588218
2534,3066.4492747859
2535,3067.4642364790
2536,3068.4791439277
2537,3069.4939971587
2538,3070.5087961985
2539,3071.5235410738
2540,3072.5382318111
2541,3073.5528684369
2542,3074.5674509778
2543,3075.5819794602
2544,3076.5964539106
2545,3077.6108743556
2546,3078.6252408214
2547,3079.6395533345
2548,3080.6538119212
2549,3081.6680166080
2550,3082.6821674210
2551,3083.6962643868
2552,3084.7103075314
2553,3085.7242968812
2554,3086.7382324625
2555,3087.7521143013
2556,3088.7659424239
2557,3089.7797168566
2558,3090.7934376253
2559,3091.8071047563
2560,3092.8207182755
2561,3093.8342782092
2562,3094.8477845833
2563,3095.8612374239
2564,3096.8746367570
2565,3097.8879826085
2566,3098.9012750044
2567,3099.9145139707
2568,3100.9276995332
2569,3101.9408317178
2570,3102.9539105505
2571,3103.9669360570
2572,3104.9799082631
2573,3105.9928271947
2574,3107.0056928776
2575,3108.0185053375
2576,3109.0312646000
2577,3110.0439706910
2578,3111.0566236362
2579,3112.0692234610
2580,3113.0817701913
2581,3114.0942638526
2582,3115.1067044706
2583,3116.1190920707
2584,3117.1314266785
2585,3118.1437083197
2586,3119.1559370196
2587,3120.1681128037
2588,3121.1802356976
2589,3122.1923057266
2590,3123.2043229161
2591,3124.2162872917
2592,3125.2281988785
2593,3126.2400577021
2594,3127.2518637876
2595,3128.2636171604
2596,3129.2753178459
2597,3130.2869658691
2598,3131.2985612555
2599,3132.3101040302
2600,3133.3215942183
2601,3134.3330318452
2602,3135.3444169358
2603,3136.3557495154
2604,3137.3670296091
2605,3138.3782572419
2606,3139.3894324389
2607,3140.4005552252
2608,3141.4116256257
2609,3142.4226436654
2610,3143.4336093695
2611,3144.4445227627
2612,3145.4553838700
2613,3146.4661927164
2614,3147.4769493267
2615,3148.4876537258
2616,3149.4983059386
2617,3150.5089059898
2618,3151.5194539043
2619,3152.5299497068
2620,3153.5403934221
2621,3154.5507850751
2622,3155.5611246902
2623,3156.5714122924
2624,3157.5816479062
2625,3158.5918315563
2626,3159.6019632673
2627,3160.6120430639
2628,3161.6220709706
2629,3162.6320470120
2630,3163.6419712127
2631,3164.6518435971
2632,3165.6616641899
2633,3166.6714330154
2634,3167.6811500981
2635,3168.6908154625
2636,3169.7004291330
2637,3170.7099911340
2638,3171.7195014899
2639,3172.7289602251
2640,3173.7383673638
2641,3174.7477229304
2642,3175.7570269492
2643,3176.7662794445
2644,3177.7754804405
2645,3178.7846299614
2646,3179.7937280315
2647,3180.8027746750
2648,3181.8117699160
2649,3182.8207137787
2650,3183.8296062873
2651,3184.8384474657
2652,3185.8472373382
2653,3186.8559759287
2654,3187.8646632614
2655,3188.8732993603
2656,3189.8818842493
2657,3190.8904179525
2658,3191.8989004938
2659,3192.9073318971
2660,3193.9157121865
2661,3194.9240413858
2662,3195.9323195189
2663,3196.9405466096
2664,3197.9487226818
2665,3198.9568477593
2666,3199.9649218660
2667,3200.9729450256
2668,3201.9809172618
2669,3202.9888385985
2670,3203.9967090593
2671,3205.0045286679
2672,3206.0122974481
2673,3207.0200154235
2674,3208.0276826177
2675,3209.0352990543
2676,3210.0428647571
2677,3211.0503797494
2678,3212.0578440550
2679,3213.0652576973
2680,3214.0726206999
2681,3215.0799330863
2682,3216.0871948800
2683,3217.0944061043
2684,3218.1015667829
2685,3219.1086769390
2686,3220.1157365962
2687,3221.1227457777
2688,3222.1297045070
2689,3223.1366128073
2690,3224.1434707021
2691,3225.1502782147
2692,3226.1570353682
2693,3227.1637421861
2694,3228.1703986914
2695,3229.1770049076
2696,3230.1835608577
2697,3231.1900665649
2698,3232.1965220525
2699,3233.2029273436
2700,3234.2092824613
2701,3235.2155874287
2702,3236.2218422689
2703,3237.2280470050
2704,3238.2342016600
2705,3239.2403062571
2706,3240.2463608191
2707,3241.2523653691
2708,3242.2583199300
2709,3243.2642245249
2710,3244.2700791767
2711,3245.2758839082
2712,3246.2816387424
2713,3247.2873437022
2714,3248.2929988104
2715,3249.2986040898
2716,3250.3041595634
2717,3251.3096652538
2718,3252.3151211839
2719,3253.3205273765
2720,3254.3258838542
2721,3255.3311906399
2722,3256.3364477562
2723,3257.3416552259
2724,3258.3468130715
2725,3259.3519213158
2726,3260.3569799813
2727,3261.3619890908
2728,3262.3669486668
2729,3263.3718587318
2730,3264.3767193085
2731,3265.3815304194
2732,3266.3862920870
2733,3267.3910043337
2734,3268.3956671822
2735,3269.4002806548
2736,3270.4048447740
2737,3271.4093595623
2738,3272.4138250420
2739,3273.4182412355
2740,3274.4226081653
2741,3275.4269258536
2742,3276.4311943228
2743,3277.4354135952
2744,3278.4395836932
2745,3279.4437046390
2746,3280.4477764548
2747,3281.4517991629
2748,3282.4557727856
2749,3283.4596973451
2750,3284.4635728634
2751,3285.4673993629
2752,3286.4711768657
2753,3287.4749053938
2754,3288.4785849695
2755,3289.4822156147
2756,3290.4857973517
2757,3291.4893302024
2758,3292.4928141890
2759,3293.4962493333
2760,3294.4996356576
2761,3295.5029731836
2762,3296.5062619334
2763,3297.5095019290
2764,3298.5126931923
2765,3299.5158357452
2766,3300.5189296097
2767,3301.5219748075
2768,3302.5249713606
2769,3303.5279192907
2770,3304.5308186199
2771,3305.5336693698
2772,3306.5364715622
2773,3307.5392252189
2774,3308.5419303617
2775,3309.5445870124
2776,3310.5471951926
2777,3311.5497549240
2778,3312.5522662283
2779,3313.5547291273
2780,3314.5571436425
2781,3315.5595097956
2782,3316.5618276083
2783,3317.5640971020
2784,3318.5663182984
2785,3319.5684912190
2786,3320.5706158855
2787,3321.5726923193
2788,3322.5747205419
2789,3323.5767005749
2790,3324.5786324396
2791,3325.5805161577
2792,3326.5823517504
